Year;signal;push_mask;average
0;0;0;0
0;49;49;0
1;50;49;50
2;48;49;52
3;47;50;51
4;48;50;51
5;48;50;52
6;48;50;51
7;48;50;52
8;47;51;53
9;46;52;53
10;45;53;53
11;44;53;54
12;41;54;54
13;41;55;56
14;42;55;56
15;43;55;54
16;44;54;55
17;44;56;55
18;46;56;55
19;46;57;56
20;45;57;58
21;48;58;57
22;50;57;58
23;50;59;58
24;49;59;59
25;50;60;59
26;50;60;59
27;51;59;60
28;51;59;62
29;52;58;63
30;54;58;63
31;55;57;64
32;55;57;65
33;55;59;65
34;56;59;66
35;56;59;65
36;56;59;65
37;55;60;67
38;55;60;68
39;55;59;66
40;54;59;67
41;55;57;67
42;55;57;68
43;55;56;67
44;55;55;69
45;57;56;70
46;56;57;71
47;57;56;72
48;57;58;71
49;58;58;73
50;58;58;73
