Year;SignalInvestment
0;0
1;48.27
2;50.107
3;57.456
4;53.531
5;44.931
6;36.442
7;32.918
8;29.482
9;26.869
10;26.226
11;22.926
12;25.163
13;23.849
14;23.328
15;20.992
16;18.992
17;17.986
18;15.034
19;41.915
20;35.162
21;25.575
22;22.063
23;20.322
24;17.043
25;16.466
26;15.347
27;14.152
28;13.756
29;46.331
30;43.842
31;30.917
32;22.984
33;18.221
34;15.056
35;13.076
36;13.65
37;14.746
38;12.558
39;11.052
40;10.376
41;10.251
42;6.846
43;6.717
44;4.826
45;43.336
46;32.095
47;22.619
48;16.178
49;13.929
50;13.997
51;11.442
52;11.913
53;12.387
54;9.908
